allergic_ID,Adverse-Event,Arm-affected,Arm-at-risk,Category,Trial-Id,URL,Condition,Intervention,Serious-Other,Arm.,Arm_Title,classes_ID,Drug,Class
2416,Allergic_reaction,5,61,Immune_system_disorders,NCT00003896,https://clinicaltrials.gov/show/NCT00003896,Fallopian_Tube_Cancer|Ovarian_Cancer|Peritoneal_Cavity_Cancer|,cisplatin|liposomal_doxorubicin|paclitaxel|,other_events,arm0,Paclitaxel/CDDP/Liposomal-Doxorubicin,2,paclitaxel,taxane
2418,Allergic_reaction,16,289,Immune_system_disorders,NCT00004859,https://clinicaltrials.gov/show/NCT00004859,Lung_Cancer,carboplatin|paclitaxel|thalidomide|radiation_therapy|,serious_events,arm0,Arm-A-(Paclitaxel-+-Carboplatin-+-Radiation-),3,carboplatin,alkalating-agent
2418,Allergic_reaction,16,289,Immune_system_disorders,NCT00004859,https://clinicaltrials.gov/show/NCT00004859,Lung_Cancer,carboplatin|paclitaxel|thalidomide|radiation_therapy|,serious_events,arm0,Arm-A-(Paclitaxel-+-Carboplatin-+-Radiation-),2,paclitaxel,taxane
2417,Allergic_reaction,13,288,Immune_system_disorders,NCT00004859,https://clinicaltrials.gov/show/NCT00004859,Lung_Cancer,carboplatin|paclitaxel|thalidomide|radiation_therapy|,serious_events,arm1,Arm-B-(Paclitaxel-+-Carboplatin-+-Radiation-+-Thalidomide),3,carboplatin,alkalating-agent
2417,Allergic_reaction,13,288,Immune_system_disorders,NCT00004859,https://clinicaltrials.gov/show/NCT00004859,Lung_Cancer,carboplatin|paclitaxel|thalidomide|radiation_therapy|,serious_events,arm1,Arm-B-(Paclitaxel-+-Carboplatin-+-Radiation-+-Thalidomide),2,paclitaxel,taxane
2420,Allergic_Reaction,3,41,General_disorders,NCT00004888,https://clinicaltrials.gov/show/NCT00004888,Recurrent_Breast_Cancer|Stage_IV_Breast_Cancer|,pegylated_liposomal_doxorubicin_hydrochloride|docetaxel|trastuzumab|laboratory_biomarker_analysis|,other_events,arm0,Arm-I:-Doxorubicin-and-Taxotere,38,doxorubicin,anthracycline-antibiotic
2419,Allergic_Reaction,8,48,General_disorders,NCT00004888,https://clinicaltrials.gov/show/NCT00004888,Recurrent_Breast_Cancer|Stage_IV_Breast_Cancer|,pegylated_liposomal_doxorubicin_hydrochloride|docetaxel|trastuzumab|laboratory_biomarker_analysis|,other_events,arm1,Arm-II:-Doxorubicin-Taxotere-and-Herceptin,38,doxorubicin,anthracycline-antibiotic
2377,Allergy,4,261,Immune_system_disorders,NCT00006011,https://clinicaltrials.gov/show/NCT00006011,Endometrial_Adenocarcinoma|Endometrial_Adenosquamous_Carcinoma|Endometrial_Clear_Cell_Adenocarcinoma|Endometrial_Endometrioid_Adenocarcinoma_Variant_With_Squamous_Differentiation|Endometrial_Serous_Adenocarcinoma|Stage_III_Uterine_Corpus_Cancer|,Doxorubicin_Hydrochloride|Cisplatin|Filgrastim|Pegfilgrastim|Paclitaxel|,other_events,arm0,Arm-1,,,
2378,Allergy,8,278,Immune_system_disorders,NCT00006011,https://clinicaltrials.gov/show/NCT00006011,Endometrial_Adenocarcinoma|Endometrial_Adenosquamous_Carcinoma|Endometrial_Clear_Cell_Adenocarcinoma|Endometrial_Endometrioid_Adenocarcinoma_Variant_With_Squamous_Differentiation|Endometrial_Serous_Adenocarcinoma|Stage_III_Uterine_Corpus_Cancer|,Doxorubicin_Hydrochloride|Cisplatin|Filgrastim|Pegfilgrastim|Paclitaxel|,other_events,arm1,Arm-2,,,
2422,Allergic_reaction,1,13,Immune_system_disorders,NCT00006721,https://clinicaltrials.gov/show/NCT00006721,Lymphoma,rituximab|cyclophosphamide|doxorubicin_hydrochloride|prednisone|vincristine_sulfate|tositumomab_and_iodine_I_131_tositumomab|,other_events,arm0,CHOP-Only,,,
2421,Allergic_reaction,49,263,Immune_system_disorders,NCT00006721,https://clinicaltrials.gov/show/NCT00006721,Lymphoma,rituximab|cyclophosphamide|doxorubicin_hydrochloride|prednisone|vincristine_sulfate|tositumomab_and_iodine_I_131_tositumomab|,other_events,arm1,CHOP-+-Rituximab,16,rituximab,monoclonal-antibody
2423,Allergic_reaction,4,58,Immune_system_disorders,NCT00008138,https://clinicaltrials.gov/show/NCT00008138,Fallopian_Tube_Cancer|Ovarian_Cancer|Peritoneal_Cavity_Cancer|,carboplatin|paclitaxel|debulking_surgery|,other_events,arm0,Neoadjuvant-Paclitaxel-(IV)-+-Carboplatin-(V),3,carboplatin,alkalating-agent
2423,Allergic_reaction,4,58,Immune_system_disorders,NCT00008138,https://clinicaltrials.gov/show/NCT00008138,Fallopian_Tube_Cancer|Ovarian_Cancer|Peritoneal_Cavity_Cancer|,carboplatin|paclitaxel|debulking_surgery|,other_events,arm0,Neoadjuvant-Paclitaxel-(IV)-+-Carboplatin-(V),2,paclitaxel,taxane
2424,Allergic_Reaction,1,21,Immune_system_disorders,NCT00010257,https://clinicaltrials.gov/show/NCT00010257,Thymoma|Thymic_Carcinoma|,carboplatin|paclitaxel|,serious_events,arm1,Thymic-Carcinoma,,,
2425,Allergic_Reaction,1,21,Immune_system_disorders,NCT00010257,https://clinicaltrials.gov/show/NCT00010257,Thymoma|Thymic_Carcinoma|,carboplatin|paclitaxel|,other_events,arm1,Thymic-Carcinoma,,,
2426,Allergic_Reaction,2,62,Immune_system_disorders,NCT00022659,https://clinicaltrials.gov/show/NCT00022659,Primary_Peritoneal_Cavity_Cancer|Recurrent_Ovarian_Epithelial_Cancer|Stage_IV_Ovarian_Epithelial_Cancer|,bevacizumab|laboratory_biomarker_analysis|,other_events,arm0,Bevacizumab,4,bevacizumab,monoclonal-antibody
2427,Allergic_Reaction,1,62,Immune_system_disorders,NCT00022659,https://clinicaltrials.gov/show/NCT00022659,Primary_Peritoneal_Cavity_Cancer|Recurrent_Ovarian_Epithelial_Cancer|Stage_IV_Ovarian_Epithelial_Cancer|,bevacizumab|laboratory_biomarker_analysis|,serious_events,arm0,Bevacizumab,4,bevacizumab,monoclonal-antibody
2426,Allergic_Reaction,2,62,Immune_system_disorders,NCT00022659,https://clinicaltrials.gov/show/NCT00022659,Primary_Peritoneal_Cavity_Cancer|Recurrent_Ovarian_Epithelial_Cancer|Stage_IV_Ovarian_Epithelial_Cancer|,bevacizumab|laboratory_biomarker_analysis|,other_events,arm0,Bevacizumab,22,bevacizumab,monoclonal-antibody
2427,Allergic_Reaction,1,62,Immune_system_disorders,NCT00022659,https://clinicaltrials.gov/show/NCT00022659,Primary_Peritoneal_Cavity_Cancer|Recurrent_Ovarian_Epithelial_Cancer|Stage_IV_Ovarian_Epithelial_Cancer|,bevacizumab|laboratory_biomarker_analysis|,serious_events,arm0,Bevacizumab,22,bevacizumab,monoclonal-antibody
2428,Allergic_Reaction,3,49,Immune_system_disorders,NCT00025155,https://clinicaltrials.gov/show/NCT00025155,Primary_Peritoneal_Cavity_Cancer|Recurrent_Ovarian_Epithelial_Cancer|,ixabepilone,other_events,arm0,Treatment-(Ixabepilone),82,ixabepilone,antimicrotubule-agent
2429,Allergic_Reaction,1,46,Immune_system_disorders,NCT00025233,https://clinicaltrials.gov/show/NCT00025233,Cervical_Squamous_Cell_Carcinoma|Recurrent_Cervical_Cancer|,bevacizumab|laboratory_biomarker_analysis|,other_events,arm0,Bevacizumab,4,bevacizumab,monoclonal-antibody
2429,Allergic_Reaction,1,46,Immune_system_disorders,NCT00025233,https://clinicaltrials.gov/show/NCT00025233,Cervical_Squamous_Cell_Carcinoma|Recurrent_Cervical_Cancer|,bevacizumab|laboratory_biomarker_analysis|,other_events,arm0,Bevacizumab,22,bevacizumab,monoclonal-antibody
1108,Drug_hypersensitivity,1,8,Immune_system_disorders,NCT00027027,https://clinicaltrials.gov/show/NCT00027027,Neoplasms,rhuMAb_2C4,serious_events,arm4,rhuMAb-2C4:-15-mg/kg,,,
1854,Dermatitis_allergic,1,4814,Skin_and_subcutaneous_tissue_disorders,NCT00036270,https://clinicaltrials.gov/show/NCT00036270,Breast_Neoplasms,exemestane_(Aromasin)|tamoxifen_+_exemestane|,serious_events,arm0,Tamoxifen-Followed-by-Exemestane,56,exemestane,aromatase-inhibitor
11,Hypersensitivity,1,4814,Immune_system_disorders,NCT00036270,https://clinicaltrials.gov/show/NCT00036270,Breast_Neoplasms,exemestane_(Aromasin)|tamoxifen_+_exemestane|,serious_events,arm0,Tamoxifen-Followed-by-Exemestane,56,exemestane,aromatase-inhibitor
10,Hypersensitivity,4,4852,Immune_system_disorders,NCT00036270,https://clinicaltrials.gov/show/NCT00036270,Breast_Neoplasms,exemestane_(Aromasin)|tamoxifen_+_exemestane|,serious_events,arm1,Exemestane,56,exemestane,aromatase-inhibitor
12,Hypersensitivity,1,53,Immune_system_disorders,NCT00038103,https://clinicaltrials.gov/show/NCT00038103,Breast_Neoplasms,Exemestane|Celecoxib_+_Exemestane|,other_events,arm0,Exemestane-(Exemestane-Alone),56,exemestane,aromatase-inhibitor
1855,Dermatitis_allergic,1,56,Skin_and_subcutaneous_tissue_disorders,NCT00038103,https://clinicaltrials.gov/show/NCT00038103,Breast_Neoplasms,Exemestane|Celecoxib_+_Exemestane|,serious_events,arm1,Combination-(Exemestane-+-Celecoxib),56,exemestane,aromatase-inhibitor
1856,Dermatitis_allergic,1,53,Skin_and_subcutaneous_tissue_disorders,NCT00038103,https://clinicaltrials.gov/show/NCT00038103,Breast_Neoplasms,Exemestane|Celecoxib_+_Exemestane|,other_events,arm1,Combination-(Exemestane-+-Celecoxib),56,exemestane,aromatase-inhibitor
15,Hypersensitivity,2,2320,Immune_system_disorders,NCT00038467,https://clinicaltrials.gov/show/NCT00038467,Breast_Neoplasms,Tamoxifen|Exemestane|,serious_events,arm0,Exemestane,56,exemestane,aromatase-inhibitor
16,Hypersensitivity,2,2338,Immune_system_disorders,NCT00038467,https://clinicaltrials.gov/show/NCT00038467,Breast_Neoplasms,Tamoxifen|Exemestane|,serious_events,arm1,Tamoxifen,,,
13,Hypersensitivity,6,105,Immune_system_disorders,NCT00039130,https://clinicaltrials.gov/show/NCT00039130,Leukemia|Lymphoma|,filgrastim|rituximab|cyclophosphamide|cytarabine|dexamethasone|doxorubicin_hydrochloride|etoposide|ifosfamide|leucovorin_calcium|methotrexate|prednisone|vincristine_sulfate|Allopurinol|,other_events,arm0,Rituximab-With-High-Intensity-Chemotherapy,16,rituximab,monoclonal-antibody
14,Hypersensitivity,1,105,Immune_system_disorders,NCT00039130,https://clinicaltrials.gov/show/NCT00039130,Leukemia|Lymphoma|,filgrastim|rituximab|cyclophosphamide|cytarabine|dexamethasone|doxorubicin_hydrochloride|etoposide|ifosfamide|leucovorin_calcium|methotrexate|prednisone|vincristine_sulfate|Allopurinol|,serious_events,arm0,Rituximab-With-High-Intensity-Chemotherapy,16,rituximab,monoclonal-antibody
2431,Allergic_reaction,6,105,Immune_system_disorders,NCT00040937,https://clinicaltrials.gov/show/NCT00040937,Multiple_Myeloma,filgrastim|sargramostim|cyclophosphamide|dexamethasone|melphalan|prednisone|thalidomide|peripheral_blood_stem_cell_transplantation|,other_events,arm1,Autologous-PBSCT,,,
2432,Allergic_reaction,5,49,Immune_system_disorders,NCT00041132,https://clinicaltrials.gov/show/NCT00041132,Lymphoma,filgrastim|rituximab|cyclophosphamide|cytarabine|dexamethasone|doxorubicin|leucovorin|methotrexate|vincristine|,other_events,arm0,Hyper-CVAD-+-MTX/Ara-C-+-Rituximab,86,mtx,Class_Name_Needed
2432,Allergic_reaction,5,49,Immune_system_disorders,NCT00041132,https://clinicaltrials.gov/show/NCT00041132,Lymphoma,filgrastim|rituximab|cyclophosphamide|cytarabine|dexamethasone|doxorubicin|leucovorin|methotrexate|vincristine|,other_events,arm0,Hyper-CVAD-+-MTX/Ara-C-+-Rituximab,16,rituximab,monoclonal-antibody
2433,Allergic_Reaction,1,46,Immune_system_disorders,NCT00042939,https://clinicaltrials.gov/show/NCT00042939,Pancreatic_Cancer,cetuximab|docetaxel|irinotecan_hydrochloride|,serious_events,arm0,Arm-A:-Irinotecan/Docetaxel,46,irinotecan,plant-alkaloid-and-topoisomerase-1-inhibitor
2433,Allergic_Reaction,1,46,Immune_system_disorders,NCT00042939,https://clinicaltrials.gov/show/NCT00042939,Pancreatic_Cancer,cetuximab|docetaxel|irinotecan_hydrochloride|,serious_events,arm0,Arm-A:-Irinotecan/Docetaxel,8,docetaxel,taxane
2434,Allergic_reaction,6,74,Immune_system_disorders,NCT00045630,https://clinicaltrials.gov/show/NCT00045630,Bladder_Cancer|Transitional_Cell_Cancer_of_the_Renal_Pelvis_and_Ureter|Urethral_Cancer|,carboplatin|gemcitabine|paclitaxel|surgery|,other_events,arm0,Gemcitabine-Paclitaxel-Carboplatin-Followed-by-Surgery,3,carboplatin,alkalating-agent
2434,Allergic_reaction,6,74,Immune_system_disorders,NCT00045630,https://clinicaltrials.gov/show/NCT00045630,Bladder_Cancer|Transitional_Cell_Cancer_of_the_Renal_Pelvis_and_Ureter|Urethral_Cancer|,carboplatin|gemcitabine|paclitaxel|surgery|,other_events,arm0,Gemcitabine-Paclitaxel-Carboplatin-Followed-by-Surgery,6,gemcitabine,antimetabolites
2434,Allergic_reaction,6,74,Immune_system_disorders,NCT00045630,https://clinicaltrials.gov/show/NCT00045630,Bladder_Cancer|Transitional_Cell_Cancer_of_the_Renal_Pelvis_and_Ureter|Urethral_Cancer|,carboplatin|gemcitabine|paclitaxel|surgery|,other_events,arm0,Gemcitabine-Paclitaxel-Carboplatin-Followed-by-Surgery,2,paclitaxel,taxane
22,Hypersensitivity,2,104,Immune_system_disorders,NCT00046891,https://clinicaltrials.gov/show/NCT00046891,Breast_Cancer|Neurotoxicity|,Ginkgo_Biloba|Placebo|,other_events,arm0,Ginkgo-Biloba,,,
2435,Allergic_reaction,2,101,Immune_system_disorders,NCT00047320,https://clinicaltrials.gov/show/NCT00047320,Brain_Tumor|Central_Nervous_System_Tumors|Childhood_Germ_Cell_Tumor|,carboplatin|etoposide|ifosfamide|thiotepa|adjuvant_therapy|conventional_surgery|neoadjuvant_therapy|peripheral_blood_stem_cell_transplantation|radiation_therapy|,other_events,arm0,Radiation-Therapy-(CR-From-Induction),,,
2294,Anaphylaxis,1,101,Immune_system_disorders,NCT00047320,https://clinicaltrials.gov/show/NCT00047320,Brain_Tumor|Central_Nervous_System_Tumors|Childhood_Germ_Cell_Tumor|,carboplatin|etoposide|ifosfamide|thiotepa|adjuvant_therapy|conventional_surgery|neoadjuvant_therapy|peripheral_blood_stem_cell_transplantation|radiation_therapy|,other_events,arm0,Radiation-Therapy-(CR-From-Induction),,,
27,Hypersensitivity,1,39,Immune_system_disorders,NCT00049127,https://clinicaltrials.gov/show/NCT00049127,Adult_Anaplastic_Oligodendroglioma|Adult_Mixed_Glioma|Adult_Oligodendroglioma|Recurrent_Adult_Brain_Tumor|,imatinib_mesylate|laboratory_biomarker_analysis|pharmacological_study|,other_events,arm1,Study-2-Arm-B,,,
2436,allergic_reaction,5,58,Immune_system_disorders,NCT00049257,https://clinicaltrials.gov/show/NCT00049257,Prostate_Cancer,carboplatin|paclitaxel|,other_events,arm0,Carboplatin-Paclitaxel,3,carboplatin,alkalating-agent
2436,allergic_reaction,5,58,Immune_system_disorders,NCT00049257,https://clinicaltrials.gov/show/NCT00049257,Prostate_Cancer,carboplatin|paclitaxel|,other_events,arm0,Carboplatin-Paclitaxel,2,paclitaxel,taxane
2437,Allergic_reaction,1,243,Immune_system_disorders,NCT00049543,https://clinicaltrials.gov/show/NCT00049543,Adenocarcinoma_of_the_Lung|Adenosquamous_Cell_Lung_Cancer|Bronchoalveolar_Cell_Lung_Cancer|Large_Cell_Lung_Cancer|Squamous_Cell_Lung_Cancer|Stage_IB_Non-small_Cell_Lung_Cancer|Stage_IIA_Non-small_Cell_Lung_Cancer|Stage_IIB_Non-small_Cell_Lung_Cancer|Stage,gefitinib|placebo|laboratory_biomarker_analysis|,serious_events,arm1,Arm-II-(Placebo),,,
1110,Drug_hypersensitivity,1,300,Immune_system_disorders,NCT00050011,https://clinicaltrials.gov/show/NCT00050011,Breast_Neoplasms|Osteoporosis|,Zoledronic_Acid|Letrozole|,serious_events,arm1,Zoledronic-Acid-Delayed-start,28,zoledronic,bisphosphonates-(supportive-treatment-of-cancer--treats-symptoms-and/or-decreases-complications)
2438,Allergic_reaction,4,297,Immune_system_disorders,NCT00050167,https://clinicaltrials.gov/show/NCT00050167,Breast_Cancer,Paclitaxel|Docetaxel|Capecitabine|,other_events,arm0,Weekly-Paclitaxel-(WP),2,paclitaxel,taxane
2440,Allergic_reaction,2,297,Immune_system_disorders,NCT00050167,https://clinicaltrials.gov/show/NCT00050167,Breast_Cancer,Paclitaxel|Docetaxel|Capecitabine|,serious_events,arm0,Weekly-Paclitaxel-(WP),2,paclitaxel,taxane
2439,Allergic_reaction,6,293,Immune_system_disorders,NCT00050167,https://clinicaltrials.gov/show/NCT00050167,Breast_Cancer,Paclitaxel|Docetaxel|Capecitabine|,other_events,arm1,Docetaxel-and-Capecitabine-(DX),17,capecitabine,antimetabolite
2441,Allergic_reaction,4,293,Immune_system_disorders,NCT00050167,https://clinicaltrials.gov/show/NCT00050167,Breast_Cancer,Paclitaxel|Docetaxel|Capecitabine|,serious_events,arm1,Docetaxel-and-Capecitabine-(DX),17,capecitabine,antimetabolite
2439,Allergic_reaction,6,293,Immune_system_disorders,NCT00050167,https://clinicaltrials.gov/show/NCT00050167,Breast_Cancer,Paclitaxel|Docetaxel|Capecitabine|,other_events,arm1,Docetaxel-and-Capecitabine-(DX),29,capecitabine,antimetabolite
2441,Allergic_reaction,4,293,Immune_system_disorders,NCT00050167,https://clinicaltrials.gov/show/NCT00050167,Breast_Cancer,Paclitaxel|Docetaxel|Capecitabine|,serious_events,arm1,Docetaxel-and-Capecitabine-(DX),29,capecitabine,antimetabolite
2439,Allergic_reaction,6,293,Immune_system_disorders,NCT00050167,https://clinicaltrials.gov/show/NCT00050167,Breast_Cancer,Paclitaxel|Docetaxel|Capecitabine|,other_events,arm1,Docetaxel-and-Capecitabine-(DX),8,docetaxel,taxane
2441,Allergic_reaction,4,293,Immune_system_disorders,NCT00050167,https://clinicaltrials.gov/show/NCT00050167,Breast_Cancer,Paclitaxel|Docetaxel|Capecitabine|,serious_events,arm1,Docetaxel-and-Capecitabine-(DX),8,docetaxel,taxane
1857,Dermatitis_allergic,1,4105,Skin_and_subcutaneous_tissue_disorders,NCT00056407,https://clinicaltrials.gov/show/NCT00056407,Neoplasms_Prostate,Dutasteride|Placebo|,serious_events,arm1,Dutasteride-0.5-mg,,,
2442,Allergic_reaction,5,46,Immune_system_disorders,NCT00057811,https://clinicaltrials.gov/show/NCT00057811,Childhood_Burkitt_Lymphoma|Childhood_Diffuse_Large_Cell_Lymphoma|Childhood_Immunoblastic_Large_Cell_Lymphoma|Stage_I_Childhood_Large_Cell_Lymphoma|Stage_I_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_II_Childhood_Large_Cell_Lymphoma|Stage_II_Childhood_S,doxorubicin_hydrochloride|cyclophosphamide|methotrexate|rasburicase|leucovorin_calcium|prednisone|methylprednisolone|filgrastim|rituximab|cytarabine|etoposide|vincristine_sulfate|hydrocortisone_sodium_succinate|laboratory_biomarker_analysis|,other_events,arm0,Group-B-(Chemotherapy-Protective-Therapy-Monoclonal-Antib.),,,
2295,Anaphylaxis,1,46,Immune_system_disorders,NCT00057811,https://clinicaltrials.gov/show/NCT00057811,Childhood_Burkitt_Lymphoma|Childhood_Diffuse_Large_Cell_Lymphoma|Childhood_Immunoblastic_Large_Cell_Lymphoma|Stage_I_Childhood_Large_Cell_Lymphoma|Stage_I_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_II_Childhood_Large_Cell_Lymphoma|Stage_II_Childhood_S,doxorubicin_hydrochloride|cyclophosphamide|methotrexate|rasburicase|leucovorin_calcium|prednisone|methylprednisolone|filgrastim|rituximab|cytarabine|etoposide|vincristine_sulfate|hydrocortisone_sodium_succinate|laboratory_biomarker_analysis|,other_events,arm0,Group-B-(Chemotherapy-Protective-Therapy-Monoclonal-Antib.),,,
2443,Allergic_reaction,2,42,Immune_system_disorders,NCT00057811,https://clinicaltrials.gov/show/NCT00057811,Childhood_Burkitt_Lymphoma|Childhood_Diffuse_Large_Cell_Lymphoma|Childhood_Immunoblastic_Large_Cell_Lymphoma|Stage_I_Childhood_Large_Cell_Lymphoma|Stage_I_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_II_Childhood_Large_Cell_Lymphoma|Stage_II_Childhood_S,doxorubicin_hydrochloride|cyclophosphamide|methotrexate|rasburicase|leucovorin_calcium|prednisone|methylprednisolone|filgrastim|rituximab|cytarabine|etoposide|vincristine_sulfate|hydrocortisone_sodium_succinate|laboratory_biomarker_analysis|,other_events,arm1,Group-C-(Chemotherapy-Monoclonal-Antibody-Therapy),,,
2296,Anaphylaxis,1,42,Immune_system_disorders,NCT00057811,https://clinicaltrials.gov/show/NCT00057811,Childhood_Burkitt_Lymphoma|Childhood_Diffuse_Large_Cell_Lymphoma|Childhood_Immunoblastic_Large_Cell_Lymphoma|Stage_I_Childhood_Large_Cell_Lymphoma|Stage_I_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_II_Childhood_Large_Cell_Lymphoma|Stage_II_Childhood_S,doxorubicin_hydrochloride|cyclophosphamide|methotrexate|rasburicase|leucovorin_calcium|prednisone|methylprednisolone|filgrastim|rituximab|cytarabine|etoposide|vincristine_sulfate|hydrocortisone_sodium_succinate|laboratory_biomarker_analysis|,other_events,arm1,Group-C-(Chemotherapy-Monoclonal-Antibody-Therapy),,,
2297,Anaphylaxis,1,42,Immune_system_disorders,NCT00057811,https://clinicaltrials.gov/show/NCT00057811,Childhood_Burkitt_Lymphoma|Childhood_Diffuse_Large_Cell_Lymphoma|Childhood_Immunoblastic_Large_Cell_Lymphoma|Stage_I_Childhood_Large_Cell_Lymphoma|Stage_I_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_II_Childhood_Large_Cell_Lymphoma|Stage_II_Childhood_S,doxorubicin_hydrochloride|cyclophosphamide|methotrexate|rasburicase|leucovorin_calcium|prednisone|methylprednisolone|filgrastim|rituximab|cytarabine|etoposide|vincristine_sulfate|hydrocortisone_sodium_succinate|laboratory_biomarker_analysis|,serious_events,arm1,Group-C-(Chemotherapy-Monoclonal-Antibody-Therapy),,,
2444,Allergic_reaction,1,16,Immune_system_disorders,NCT00060346,https://clinicaltrials.gov/show/NCT00060346,Lymphoma,rituximab|cyclophosphamide|Doxorubicin|Prednisone|Vincristine|,serious_events,arm0,Rituximab-+-CHOP,16,rituximab,monoclonal-antibody
31,Hypersensitivity,1,119,Immune_system_disorders,NCT00061945,https://clinicaltrials.gov/show/NCT00061945,Acute_Undifferentiated_Leukemia|B-cell_Adult_Acute_Lymphoblastic_Leukemia|B-cell_Childhood_Acute_Lymphoblastic_Leukemia|L1_Adult_Acute_Lymphoblastic_Leukemia|L1_Childhood_Acute_Lymphoblastic_Leukemia|L2_Adult_Acute_Lymphoblastic_Leukemia|L2_Childhood_Acut,allopurinol|cyclophosphamide|daunorubicin_hydrochloride|vincristine_sulfate|dexamethasone|asparaginase|filgrastim|imatinib_mesylate|methotrexate|cytarabine|trimethoprim-sulfamethoxazole|mercaptopurine|leucovorin_calcium|alemtuzumab|acyclovir|laboratory_bi,serious_events,arm0,Phase-I---Alemtuzumab-and-Combination-Chemotherapy,76,alemtuzumab,monoclonal-antibody
32,Hypersensitivity,6,119,Immune_system_disorders,NCT00061945,https://clinicaltrials.gov/show/NCT00061945,Acute_Undifferentiated_Leukemia|B-cell_Adult_Acute_Lymphoblastic_Leukemia|B-cell_Childhood_Acute_Lymphoblastic_Leukemia|L1_Adult_Acute_Lymphoblastic_Leukemia|L1_Childhood_Acute_Lymphoblastic_Leukemia|L2_Adult_Acute_Lymphoblastic_Leukemia|L2_Childhood_Acut,allopurinol|cyclophosphamide|daunorubicin_hydrochloride|vincristine_sulfate|dexamethasone|asparaginase|filgrastim|imatinib_mesylate|methotrexate|cytarabine|trimethoprim-sulfamethoxazole|mercaptopurine|leucovorin_calcium|alemtuzumab|acyclovir|laboratory_bi,other_events,arm0,Phase-I---Alemtuzumab-and-Combination-Chemotherapy,76,alemtuzumab,monoclonal-antibody
